Station,avg_rain,std_rain,max_rain,median_rain,total_rain,total_hours,max_24h,avg_24h,p95_24h,max_72h,rainy_hours,heavy_events,extreme_events,nemr_hours,sw_hours,latitude,longitude,district,rain_freq,heavy_rate,extreme_rate,nemr_rain_share,sw_rain_share,risk_score,risk_label
Karisalkulam_1,3.2199471598414795,5.394751613443308,54.5,1.0,2437.5,757,243.5,76.66512549537649,169.69999999999993,436.0,354,66,5,327,108,9.35,78.058333,Thoothukudi,0.4676354029062087,0.08718626155878467,0.0066050198150594455,0.4319682959048877,0.142668428005284,0.36793103448275866,0
Karunkuzhi,6.42981072555205,17.70023015993688,200.0,1.5,8153.0,1268,1310.0,153.57728706624604,553.8249999999999,2502.5,697,165,55,703,431,12.54305556,79.90444444,Chengalpattu,0.5496845425867508,0.13012618296529968,0.04337539432176656,0.554416403785489,0.33990536277602523,0.8879310344827586,2
Karuppanadhi Dam,2.7171824973319105,5.039539534507519,60.0,1.0,2546.0,937,218.0,64.32177161152615,145.09999999999997,347.5,384,52,6,380,398,9.13361111,77.31055556,Tenkasi,0.40981856990394877,0.05549626467449306,0.0064034151547491995,0.4055496264674493,0.4247598719316969,0.1820689655172414,0
Karur,3.751604621309371,13.616449369689038,200.0,0.5,2922.5,779,692.5,72.96469833119384,168.0999999999999,823.0,290,58,13,412,197,10.91777778,78.09361111,Karur,0.3722721437740693,0.07445442875481387,0.01668806161745828,0.5288831835686778,0.25288831835686776,0.4227586206896552,1
Kavalur,8.786914765906362,27.405364424578067,200.0,1.0,7319.5,833,1952.5,210.01200480192077,1038.0,3183.0,403,126,46,301,369,9.57444444,77.90333333,Virudhunagar,0.4837935174069628,0.15126050420168066,0.055222088835534214,0.36134453781512604,0.4429771908763505,0.8968965517241378,2
Kazhugumalai_1,4.1225,15.363818776894693,200.0,1.0,3298.0,800,1010.5,97.93,176.5,1107.5,348,62,14,354,113,9.149444,77.702778,Thoothukudi,0.435,0.0775,0.0175,0.4425,0.14125,0.5086206896551725,1
Keelaeral,4.303708439897698,7.3551413329425515,53.5,1.5,3365.5,782,266.0,102.576726342711,217.5,484.5,415,86,17,439,117,9.09694444,78.00666667,Thoothukudi,0.530690537084399,0.10997442455242967,0.021739130434782608,0.5613810741687979,0.149616368286445,0.7662068965517241,2
Kesavaram Anicut_1,2.5741183502689777,8.228306599801625,200.0,0.5,4306.5,1673,637.5,61.65421398684997,143.5,770.0,548,88,13,697,891,13.021667,79.7625,Ranipet,0.3275552898983861,0.05260011954572624,0.007770472205618649,0.4166168559473999,0.5325762104004782,0.1427586206896552,0
Kiladayalam,3.715695067264574,6.68003505567101,68.5,1.5,4143.0,1115,420.0,87.57130044843049,189.79999999999995,628.0,563,105,13,674,311,12.16722222,79.62055556,Viluppuram,0.5049327354260089,0.09417040358744394,0.011659192825112108,0.6044843049327354,0.2789237668161435,0.5637931034482759,1
Kilnatcipatu,3.698336252189142,9.458328125878884,200.0,1.0,4223.5,1142,436.5,88.35901926444834,188.0,615.5,507,83,21,537,448,12.23916667,79.10666667,Tiruvannamalai,0.44395796847635727,0.07267950963222417,0.01838879159369527,0.4702276707530648,0.3922942206654991,0.4555172413793104,1
Kodumudiyar dam,4.360149672591207,17.903215725419596,200.0,1.0,4661.0,1069,1569.5,104.29420018709074,266.29999999999995,1753.0,507,75,14,565,242,8.42638889,77.5275,Tirunelveli,0.47427502338634236,0.07015902712815715,0.013096351730589336,0.5285313376987839,0.22637979420018708,0.4941379310344827,1
KolidamL A(Coleroon),3.8070318887980377,7.485772622511199,90.0,1.0,4656.0,1223,425.0,90.50163532297628,193.79999999999973,727.5,549,120,23,659,357,11.329167,79.720833,Nagapattinam,0.4488961569910057,0.09811937857726902,0.018806214227309895,0.5388389206868357,0.2919051512673753,0.606551724137931,1
Koppampatti_1,4.554931836407378,16.02824020547594,200.0,1.0,5680.0,1247,1522.0,109.12951082598235,459.0500000000005,2606.0,503,92,37,574,395,11.3,78.496944,Tiruchirappalli,0.4033680834001604,0.07377706495589414,0.02967121090617482,0.4603047313552526,0.31676022453889335,0.5551724137931034,1
