Station,district,latitude,longitude,avg_rain,max_24h,heavy_rate,extreme_rate,rain_freq,risk_score,risk_label,risk_level
Mettur_1,Salem,11.8075,77.800278,4.038894575230297,521.0,0.09518935516888434,0.02456499488229273,0.44114636642784033,0.6472413793103448,2,High
Pudukkottai,Pudukkottai,10.37694444,78.81777778,4.16289592760181,753.0,0.08974358974358974,0.02262443438914027,0.4321266968325792,0.6075862068965516,1,Moderate
KolidamL A(Coleroon),Nagapattinam,11.329167,79.720833,3.8070318887980377,425.0,0.09811937857726902,0.018806214227309895,0.4488961569910057,0.606551724137931,1,Moderate
Savaspuram,Virudhunagar,9.48527778,78.14611111,3.7551159618008185,203.0,0.10231923601637108,0.015006821282401092,0.47885402455661663,0.6048275862068965,1,Moderate
Pilavakkal Periyar Dam,Virudhunagar,9.64,77.52944444,3.898886032562125,338.5,0.10197086546700942,0.011139674378748929,0.49185946872322195,0.6027586206896551,1,Moderate
Vembakottai Dam,Virudhunagar,9.335,77.75111111,3.798958333333333,285.5,0.09479166666666666,0.017708333333333333,0.46145833333333336,0.5989655172413793,1,Moderate
Cheranmahadevi,Tirunelveli,8.69,77.5625,4.2397186147186146,724.5,0.08441558441558442,0.0183982683982684,0.474025974025974,0.5906896551724138,1,Moderate
Uthampalayam,Tiruppur,10.90111111,77.67277778,3.713815789473684,201.0,0.09375,0.01644736842105263,0.4901315789473684,0.5903448275862069,1,Moderate
K Paramathi,Karur,10.9575,77.91083333,4.20545746388443,665.5,0.08828250401284109,0.01765650080256822,0.449438202247191,0.5889655172413792,1,Moderate
Radhapuram,Tirunelveli,8.26888889,77.68472222,4.039256198347108,578.0,0.08264462809917356,0.02066115702479339,0.4690082644628099,0.586551724137931,1,Moderate
Kancheepuram,Kancheepuram,12.82388889,79.69833333,3.7509025270758123,266.5,0.08754512635379061,0.015342960288808664,0.5243682310469314,0.5817241379310345,1,Moderate
Kalampatti,Thoothukudi,9.11,77.78222222,3.7051422319474834,387.0,0.09080962800875274,0.019693654266958426,0.4540481400437637,0.570344827586207,1,Moderate
